experiment_id,target_prune_proportion,iters,n_epochs,initialisation,train_dataset,eval_datasets,split_classes,noise,prune_proportion,accuracy,iteration,dataset,classes
SGD Normal LR,0.99,7,10,random,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0.7305652499198914,0.1,2,FashionMNIST,None
SGD Normal LR,0.99,7,10,random,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0.7305652499198914,0.1,2,CIFAR10,None
SGD Normal LR,0.99,7,10,random,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0.7305652499198914,0.0987,2,MaxGroup,None
SGD Normal LR,0.99,7,10,random,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0.8599227070808411,0.1135,3,MNIST,None
SGD Normal LR,0.99,7,10,random,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0.8599227070808411,0.1,3,FashionMNIST,None
SGD Normal LR,0.99,7,10,random,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0.8599227070808411,0.1,3,CIFAR10,None
SGD Normal LR,0.99,7,10,random,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0.8599227070808411,0.0998,3,MaxGroup,None
SGD Normal LR,0.99,7,10,random,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0.9270470142364502,0.1135,4,MNIST,None
SGD Normal LR,0.99,7,10,random,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0.9270470142364502,0.1187,4,FashionMNIST,None
SGD Normal LR,0.99,7,10,random,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0.9270470142364502,0.1,4,CIFAR10,None
SGD Normal LR,0.99,7,10,random,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0.9270470142364502,0.1028,4,MaxGroup,None
SGD Normal LR,0.99,7,10,random,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0.9619106650352478,0.1135,5,MNIST,None
SGD Normal LR,0.99,7,10,random,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0.9619106650352478,0.1,5,FashionMNIST,None
SGD Normal LR,0.99,7,10,random,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0.9619106650352478,0.0979,5,CIFAR10,None
SGD Normal LR,0.99,7,10,random,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0.9619106650352478,0.1019,5,MaxGroup,None
SGD Normal LR,0.99,7,10,random,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0.9800419807434082,0.1077,6,MNIST,None
SGD Normal LR,0.99,7,10,random,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0.9800419807434082,0.1394,6,FashionMNIST,None
SGD Normal LR,0.99,7,10,random,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0.9800419807434082,0.1,6,CIFAR10,None
SGD Normal LR,0.99,7,10,random,MNIST,FashionMNIST CIFAR10 MaxGroup,None,True,0.9800419807434082,0.0988,6,MaxGroup,None
